"GEOID","wq_risk","comb_risk","wq_score","ex_risk","Pop18","adj_dw","statesmallcount","dwss_cou","dwss_den","DAC_status"
"060375002021",0,0,0,0,734,0,0,0,0,"None"
"060375002023",0,0,0,0,921,0,0,0,0,"None"
"060375002024",0,0,0,0,835,0,0,0,0,"None"
"060375002025",0,0,0,0,1499,0,0,0,0,"None"
"060375015032",0,0,0,0,682,0,0,0,0,"None"
"060375015033",0,0,0,0,1562,0,0,0,0,"None"
"060375015041",0,0,0,0,1153,0,0,0,0,"SDAC"
"060375015043",0,0,0,0,1088,0,0,0,0,"SDAC"
"060375016001",0,0,0,0,3927,0,0,0,0,"None"
"060375016002",0,0,0,0,1717,0,0,0,0,"None"
"060375016005",0,0,0,0,373,0,0,0,0,"None"
"060375017001",0,0,0,0,740,0,0,0,0,"None"
"060375017002",0,0,0,0,924,0,0,0,0,"None"
"060375017003",0,0,0,0,1143,0,0,0,0,"None"
"060375018021",0,0,0,0,952,0,0,0,0,"None"
"060375018022",0,0,0,0,987,0,0,0,0,"DAC"
"060375018023",0,0,0,0,1546,0,0,0,0,"None"
"060375018031",0,0,0,0,2186,0,0,0,0,"SDAC"
